"Affiliate Code","Upline Affiliate Username","Affiliate Username","Sign Up Country","Currency","Approved Time","Registered Users","Number of First Deposits","First Deposit","Active Players","Total Deposit","Total Deposit Payment Fee","Total Withdrawal","Total Withdrawal Payment Fee","Total Number of Bets","Total Turnover","Total Profit&Loss","Total Bonus","Total VIP Cash Bonus","Total Referral Commission","Total Revenue Adjustment","Total Deduction","Total Net Profit","Slots Bet Count","Slots Total Stake","Slots Total Turnover","Slots Total Profit&Loss","Live Casino Bet Count","Live Casino Total Stake","Live Casino Total Turnover","Live Casino Total Profit&Loss","Sports Bet Count","Sports Total Stake","Sports Total Turnover","Sports Total Profit&Loss","Fishing Bet Count","Fishing Total Stake","Fishing Total Turnover","Fishing Total Profit&Loss","Card Bet Count","Card Total Stake","Card Total Turnover","Card Total Profit&Loss","E-sports Bet Count","E-sports Total Stake","E-sports Total Turnover","E-sports Total Profit&Loss","Lottery Bet Count","Lottery Total Stake","Lottery Total Turnover","Lottery Total Profit&Loss","P2P Bet Count","P2P Total Stake","P2P Total Turnover","P2P Total Profit&Loss","Table Bet Count","Table Total Stake","Table Total Turnover","Table Total Profit&Loss","Arcade Bet Count","Arcade Total Stake","Arcade Total Turnover","Arcade Total Profit&Loss","Crash Bet Count","Crash Total Stake","Crash Total Turnover","Crash Total Profit&Loss"
"iWXGlkMy"," ","fbmsgbdt","-","BDT","2021/08/04 12:39:42","0","0","0","5","3500","40","500","0","1276","12279","3666.61","50","0","108.02","0","0.00","3508.59","1177","6596","6596","1928.15","8","330","330","10","14","3513","3543","1532.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","1810","1810","196.1"
"v603NqL5"," ","socialdomain","-","BDT","2021/08/03 15:55:41","27","16","12900","79","88900","460","60700","0","33117","1032237.90","28120.58","31404.32","77","146.42","0","0.00","-3832.16","26560","326824.96","326824.96","29299.38","1932","491430","443860","-23017.25","106","87270","75132.54","-6759.46","3271","103655.3","103655.3","18444.62","","","","","","","","","","","","","5","1750","1750","325","380","69803.3","52684.3","8389.95","16","14.8","14.8","1.68","847","28316","28316","1436.66"
"9ywZUx6o"," ","jeetbuzzyoutube","-","BDT","2021/08/03 16:29:00","0","0","0","4","15700","0","0","0","626","38763.2","16031.86","304","0","29.65","0","0.00","15698.21","601","38143.2","38143.2","15531.86","25","620","620","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hTTNX59v"," ","pinterest","-","BDT","2021/08/03 16:29:10","0","0","0","2","0","0","0","0","558","1365","120.6","13.21","0","13.21","0","0.00","94.18","558","1365","1365","120.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IkrIOC52"," ","instagram","-","BDT","2021/08/04 12:36:00","0","0","0","1","0","0","0","0","7","7","6.2","0","6","0","0","0.00","0.20","7","7","7","6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6A0BREx"," ","whatsapppkr","IN","PKR","2024/04/01 18:19:46","0","0","0","0","0","0","0","0","3","292","292","0","0","0","0","58.40","233.60","","","","","","","","","3","400","292","292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"o36TsA9F"," ","twitter","-","BDT","2021/08/04 12:36:07","0","0","0","3","1500","0","500","0","6276","22992.07","3069.21","20","0","0","0","0.00","3049.21","6199","20155.2","20155.2","2220.47","","","","","30","6774","2830.27","842.96","","","","","","","","","","","","","","","","","","","","","","","","","47","6.6","6.6","5.78","","","",""
"VxzGKJMT"," ","fbdirect","-","BDT","2021/08/03 16:28:55","1","0","0","16","89900","674","77300","0","4169","1076109.465","52210.745","2672","518","46.13","0","0.00","49649.615","3793","604409.1","604409.1","29985.10","256","248207","248207","8125.5","67","205259","206759","10261.93","5","2.2","2.2","0.2","","","","","","","","","","","","","3","750","750","-675","42","22341.84","15935.165","4466.015","","","","","3","47","47","47"
"Grand Total","","","","","","28","16","12900.00","110","199500.00","1174.00","139000.00","0.00","46032","2184045.64","103517.81","34463.53","601.00","343.43","0.00","58.40","68401.45"
